,prop,prob
0,Go,0.03145235892691952
1,Old Kent Road,0.0205570973378559
2,Community Chest,0.019220886010895267
3,Whitechapel Road,0.021071024771302297
4,Income Tax,0.02322951999177716
5,Kings Cross Station,0.029293863706444656
6,The Angel Islington,0.022818378045020047
7,Chance,0.008531195395210198
8,Euston Road,0.023537876451845
9,Pentonville Road,0.02322951999177716
10,Jail,0.022510021584952206
11,Pall Mall,0.027032582999280505
12,Electric Company,0.024565731318737797
13,Whitehall,0.023743447425223562
14,Northumberland Avenue,0.023332305478466445
15,Marylebone Station,0.029293863706444656
16,Bow Street,0.026827012025901948
17,Community Chest,0.026210299105766267
18,Marlborough Street,0.028368794326241138
19,Vine Street,0.03145235892691952
20,Free Parking,0.02775208140610546
21,Strand,0.028368794326241138
22,Chance,0.01007297769554939
23,Fleet Street,0.027238153972659062
24,Trafalgar Square,0.0320690718470552
25,Fenchurch Street Station,0.030321718573337448
26,Leicester Square,0.027238153972659062
27,Coventry Street,0.02631308459245555
28,Water Works,0.02795765237948402
29,Piccadilly,0.025388015212252032
30,Go To Jail,0.04717853839037929
31,Regent Street,0.026415870079144827
32,Oxford Street,0.027238153972659062
33,Community chest,0.02322951999177716
34,Bond Street,0.025799157159009153
35,Liverpool Street Station,0.023743447425223562
36,Chance,0.008633980881899476
37,Park Lane,0.020968239284613017
38,Super Tax,0.02230445061157365
39,Mayfair,0.025490800698941312
