prop,prob
Go, .0306
Old Kent Road, .0200
Community Chest, .0187
Whitechapel Road, .0205
Income Tax, .0226
Kings Cross Station, .0285
The Angel Islington, .0222
Chance, .0083
Euston Road, .0229
Pentonville Road, .0226
Jail, .0219
Pall Mall, .0263
Electric Company, .0239
Whitehall, .0231
Northumberland Avenue, .0227
Marylebone Station, .0285
Bow Street,.0261
Community Chest, .0255
Marlborough Street, .0276
Vine Street, .0306
Free Parking,.0270
Strand, .0276
Chance, .0098
Fleet Street, .0265
Trafalgar Square, .0312
Fenchurch Street Station, .0295
Leicester Square, .0265
Coventry Street, .0256
Water Works, .0272
Piccadilly, .0247
Go To Jail, .0459
Regent Street, .0257
Oxford Street, .0265
Community chest, .0226
Bond Street, .0251
Liverpool Street Station, .0231
Chance, .0084
Park Lane, .0204
Super Tax, .0217
Mayfair, .0248
